iter	MultiRMSE
0	13.55585995
1	13.47700488
2	13.39368132
3	13.31085487
4	13.2299092
5	13.15180972
6	13.07075091
7	12.98841472
8	12.91640362
9	12.84553349
10	12.7681278
11	12.69043812
12	12.61834545
13	12.54177436
14	12.47450087
15	12.3989878
16	12.31909228
17	12.24926946
18	12.18194182
19	12.11363351
20	12.04350864
21	11.97228476
22	11.90662995
23	11.83967727
24	11.77384526
25	11.70904469
26	11.64278685
27	11.57813443
28	11.51174403
29	11.442636
30	11.3723116
31	11.30805948
32	11.24764228
33	11.18454947
34	11.12613364
35	11.06493744
36	11.00929701
37	10.95563057
38	10.89786195
39	10.84182944
40	10.79126328
41	10.73364918
42	10.68380373
43	10.62949519
44	10.57146833
45	10.51750118
46	10.46261281
47	10.4114105
48	10.35472769
49	10.30728469
50	10.25552472
51	10.20518449
52	10.15626143
53	10.1013847
54	10.05392796
55	9.999993001
56	9.9522353
57	9.901088729
58	9.852410764
59	9.801492416
60	9.75540026
61	9.710474823
62	9.666608413
63	9.621164514
64	9.577259091
65	9.53074004
66	9.487817734
67	9.44660392
68	9.403393353
69	9.359223516
70	9.322423518
71	9.278978422
72	9.233631939
73	9.196678579
74	9.160607859
75	9.121898077
76	9.082933961
77	9.0466868
78	9.009480888
79	8.972019701
80	8.932881762
81	8.888906109
82	8.84869789
83	8.8114776
84	8.777980891
85	8.740922774
86	8.7030076
87	8.66318515
88	8.626920986
89	8.594174
90	8.560496292
91	8.525015811
92	8.491694589
93	8.460799616
94	8.427999173
95	8.390062297
96	8.361371362
97	8.331297734
98	8.302376267
99	8.267213054
100	8.236977431
101	8.20691307
102	8.17558999
103	8.146074218
104	8.119252899
105	8.094055542
106	8.062566519
107	8.036935926
108	8.010060572
109	7.980523309
110	7.953362221
111	7.92392712
112	7.895893956
113	7.872481804
114	7.848497831
115	7.820679897
116	7.79240091
117	7.766874874
118	7.740833019
119	7.712040938
120	7.686139072
121	7.661439456
122	7.641153065
123	7.610612802
124	7.58881468
125	7.566652366
126	7.544802789
127	7.518010092
128	7.493048937
129	7.471247869
130	7.452531354
131	7.42779225
132	7.401566313
133	7.375380932
134	7.35354753
135	7.325548907
136	7.308025322
137	7.28699917
138	7.269234472
139	7.248891562
140	7.223661909
141	7.204032353
142	7.182681463
143	7.162264013
144	7.143510849
145	7.121746511
146	7.099526227
147	7.074753925
148	7.055845028
149	7.039264563
150	7.026287558
151	7.009447196
152	6.994370362
153	6.977585653
154	6.957777259
155	6.942242593
156	6.925097782
157	6.906553102
158	6.889707962
159	6.872411399
160	6.857334079
161	6.837432034
162	6.822210208
163	6.804199845
164	6.788552042
165	6.774931609
166	6.757251756
167	6.737969181
168	6.725011378
169	6.712181964
170	6.690950707
171	6.67161319
172	6.652713573
173	6.639048952
174	6.622441056
175	6.606941551
176	6.591521523
177	6.573366999
178	6.559552096
179	6.546592337
180	6.528658127
181	6.515206021
182	6.500770776
183	6.485482052
184	6.472768652
185	6.458583827
186	6.44064235
187	6.426325753
188	6.416634229
189	6.405675547
190	6.390571205
191	6.372805218
192	6.366094334
193	6.351758481
194	6.340068877
195	6.32951458
196	6.315516365
197	6.305947822
198	6.293461659
199	6.2841877
200	6.269273219
201	6.255086882
202	6.245016822
203	6.231606243
204	6.22288772
205	6.21080291
206	6.197398556
207	6.184519842
208	6.176005988
209	6.163986891
210	6.155234852
211	6.142464013
212	6.13081813
213	6.120749297
214	6.111105113
215	6.101964177
216	6.090026556
217	6.083023634
218	6.071700233
219	6.059647832
220	6.050241355
221	6.040876975
222	6.032534839
223	6.024011847
224	6.015878922
225	6.005580071
226	5.992875543
227	5.981280734
228	5.974630008
229	5.964391713
230	5.954269381
231	5.942990283
232	5.932160502
233	5.924061135
234	5.913440354
235	5.908705115
236	5.898958029
237	5.894157157
238	5.884472741
239	5.876689467
240	5.870289054
241	5.863572255
242	5.860278157
243	5.85278552
244	5.84618519
245	5.840719766
246	5.835292653
247	5.82579537
248	5.815523436
249	5.806276878
250	5.794056128
251	5.784565388
252	5.777800113
253	5.769136791
254	5.760553437
255	5.754461456
256	5.743497097
257	5.733454871
258	5.728853763
259	5.725719982
260	5.720566363
261	5.712849597
262	5.707355414
263	5.69588684
264	5.688084072
265	5.678490963
266	5.673626809
267	5.666495654
268	5.663400472
269	5.659786366
270	5.652125437
271	5.644883206
272	5.638550187
273	5.631657998
274	5.622855504
275	5.617092462
276	5.611302776
277	5.602921225
278	5.595332276
279	5.587107615
280	5.57973359
281	5.576750306
282	5.57098998
283	5.563614132
284	5.555914787
285	5.553660977
286	5.547695239
287	5.538506116
288	5.53279819
289	5.526320249
290	5.520298896
291	5.516823959
292	5.51251832
293	5.505072536
294	5.500305499
295	5.493648992
296	5.488198302
297	5.483771618
298	5.475600193
299	5.472873158
300	5.468794513
301	5.463149392
302	5.456675966
303	5.453215464
304	5.448524387
305	5.444108046
306	5.436325546
307	5.430696859
308	5.428456395
309	5.422829181
310	5.41980314
311	5.414567635
312	5.409158485
313	5.403072799
314	5.400757821
315	5.393624806
316	5.390544005
317	5.385894194
318	5.377878631
319	5.374615976
320	5.370032496
321	5.364869631
322	5.361512071
323	5.356730407
324	5.35286491
325	5.346946524
326	5.343603251
327	5.338613715
328	5.334733566
329	5.331160837
330	5.3247769
331	5.321636649
332	5.317939823
333	5.313366836
334	5.307116659
335	5.30065035
336	5.295829309
337	5.290226764
338	5.286760631
339	5.282291873
340	5.274742588
341	5.270421322
342	5.265995719
343	5.262081918
344	5.253768801
345	5.250992511
346	5.246616996
347	5.243375185
348	5.240337666
349	5.235371936
350	5.230884989
351	5.225573373
352	5.222900877
353	5.217253392
354	5.214682741
355	5.20997126
356	5.20633407
357	5.202292141
358	5.197013509
359	5.195309634
360	5.19132342
361	5.189144605
362	5.183956027
363	5.181931476
364	5.177734465
365	5.175045592
366	5.16879305
367	5.164144326
368	5.15892412
369	5.156589469
370	5.153834341
371	5.149636233
372	5.146193494
373	5.140242808
374	5.137968482
375	5.131561136
376	5.124078559
377	5.119898281
378	5.117816169
379	5.115817415
380	5.111759972
381	5.103178712
382	5.101430998
383	5.099260483
384	5.095420711
385	5.091468013
386	5.089598944
387	5.085812048
388	5.082713828
389	5.07825015
390	5.074103196
391	5.069220322
392	5.066357871
393	5.062037292
394	5.05798312
395	5.055174295
396	5.053278785
397	5.047622325
398	5.04366247
399	5.038488994
400	5.033671891
401	5.029973645
402	5.02513983
403	5.021574995
404	5.019972291
405	5.015771616
406	5.011344893
407	5.008314661
408	5.006315403
409	5.001530582
